,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
31,8/27/2022,Brentford,1,0,19,5,8,8,2,0,D,2,1.285714286,12.71428571,4.857142857,7.857142857,4.285714286,1.285714286,0,8/27/2022,Everton,1,1,14,7,8,5,2,0,D,0.714285714,0.142857143,14,5.571428571,9.428571429,5.428571429,2.285714286,0
32,8/27/2022,Brighton,1,0,13,4,10,5,2,0,W,1,0.142857143,14.85714286,5.428571429,9.857142857,6.571428571,1.571428571,0,8/27/2022,Leeds,0,0,10,2,14,3,3,0,L,1.142857143,0.428571429,10.71428571,3.285714286,12.57142857,4.571428571,2.285714286,0
33,8/27/2022,Chelsea,2,0,7,3,10,3,1,1,W,0.714285714,0.285714286,12.57142857,3.285714286,12.42857143,5.857142857,1.857142857,0.285714286,8/27/2022,Leicester,1,0,17,5,7,11,2,0,L,1.714285714,0.857142857,10.42857143,3.285714286,10.57142857,3.571428571,2,0
34,8/27/2022,Liverpool,9,5,19,12,6,8,0,0,W,2.142857143,1,17.42857143,6,8.857142857,6,1.714285714,0.142857143,8/27/2022,Bournemouth,0,0,5,2,5,1,1,0,L,0.428571429,0.142857143,7.857142857,2,8.714285714,2.571428571,2,0
35,8/27/2022,Man City,4,0,18,5,14,6,1,0,W,2.714285714,1.285714286,18.28571429,6.285714286,10.57142857,6.714285714,1.571428571,0,8/27/2022,Crystal Palace,2,2,2,2,8,1,2,0,L,1.285714286,0.571428571,8.285714286,3.142857143,10,3.428571429,2.571428571,0
36,8/27/2022,Arsenal,2,0,22,8,6,9,2,0,W,2.571428571,1,16.42857143,5.142857143,8.142857143,6.571428571,1,0,8/27/2022,Fulham,1,0,11,3,12,2,3,0,L,1.142857143,0.428571429,11.28571429,4.142857143,12.28571429,3.428571429,2.857142857,0
37,8/28/2022,Aston Villa,0,0,9,3,10,3,2,0,L,1.428571429,0.857142857,10.71428571,4,11.71428571,4,1.714285714,0,8/28/2022,West Ham,1,0,7,2,10,2,0,0,W,1,0.285714286,11.85714286,2.714285714,10.14285714,5.714285714,0.857142857,0
38,8/28/2022,Wolves,1,1,10,4,10,4,2,0,D,0.714285714,0.571428571,10.85714286,3,11,4.857142857,2,0,8/28/2022,Newcastle,1,0,21,6,11,13,1,0,D,0.857142857,0.571428571,12.85714286,4.428571429,9.714285714,6.571428571,2.428571429,0.142857143
39,8/28/2022,Nott'm Forest,0,0,17,1,11,6,6,0,L,0.571428571,0.285714286,10.28571429,2.714285714,9.857142857,3,2.571428571,0,8/28/2022,Tottenham,2,1,18,7,13,1,1,0,W,1.571428571,0.428571429,12.28571429,4.571428571,12.28571429,4.428571429,1.571428571,0.142857143
40,8/30/2022,Crystal Palace,1,0,13,4,11,4,1,0,D,1.285714286,0.571428571,9.285714286,3.571428571,10.14285714,3.857142857,2.142857143,0,8/30/2022,Brentford,1,0,9,3,8,6,2,0,D,1.857142857,1,12.71428571,4.428571429,8.285714286,5,1.571428571,0
41,8/30/2022,Fulham,2,0,10,3,9,3,2,0,W,1.142857143,0.285714286,10.42857143,4.142857143,12.28571429,3.142857143,3.142857143,0,8/30/2022,Brighton,1,0,7,4,11,3,1,0,L,0.857142857,0.142857143,14.57142857,5.285714286,10.42857143,6,1.285714286,0
42,8/30/2022,Southampton,2,2,9,7,15,5,2,0,W,1,0.428571429,11.28571429,4.571428571,12.85714286,3.571428571,2.571428571,0,8/30/2022,Chelsea,1,1,10,4,10,3,1,0,L,0.714285714,0.285714286,12.28571429,3.285714286,12.28571429,5.428571429,1.857142857,0.285714286
43,8/30/2022,Leeds,1,0,14,5,10,10,3,0,D,1.285714286,0.428571429,11.57142857,4,13.14285714,5.428571429,2.285714286,0,8/30/2022,Everton,1,1,7,2,9,2,3,0,D,0.714285714,0.285714286,12.85714286,5,9.571428571,4.857142857,2.428571429,0
