,team_1_Date,team_1_name,team_1_total_goals,team_1_half_time_goals,team_1_shots,team_1_shots_on_target,team_1_fouls,team_1_corners,team_1_yellows,team_1_reds,team_1_home_result,team_1_total_goals_per_match,team_1_half_time_goals_per_match,team_1_shots_per_match,team_1_shots_on_target_per_match,team_1_fouls_per_match,team_1_corners_per_match,team_1_yellows_per_match,team_1_reds_per_match,team_2_Date,team_2_name,team_2_total_goals,team_2_half_time_goals,team_2_shots,team_2_shots_on_target,team_2_fouls,team_2_corners,team_2_yellows,team_2_reds,team_2_away_result,team_2_total_goals_per_match,team_2_half_time_goals_per_match,team_2_shots_per_match,team_2_shots_on_target_per_match,team_2_fouls_per_match,team_2_corners_per_match,team_2_yellows_per_match,team_2_reds_per_match
79,10/8/2022,Man City,4,2,21,8,4,9,0,0,W,2.8,1.6,16.8,6.6,7,7.4,0.4,0,10/8/2022,Southampton,0,0,5,0,8,1,1,0,L,0.6,0.4,9.6,3.6,10.2,4.2,2,0
80,10/8/2022,Newcastle,5,2,16,6,14,9,0,0,W,2.4,1.2,14.8,4.8,10.2,6.2,1.2,0,10/8/2022,Brentford,1,0,6,3,9,5,1,0,L,0.8,0.2,9,3.4,9.8,4.4,1.4,0
81,10/8/2022,Brighton,0,0,14,4,9,6,1,0,L,1,0.6,16.2,5.8,12.4,7.4,1.8,0,10/8/2022,Tottenham,1,1,8,3,14,2,2,0,W,1.4,0.2,15.6,4.8,10,7.4,1.8,0
82,10/9/2022,Crystal Palace,2,1,13,5,13,5,3,0,W,1,0.4,11.2,3,13.4,4.6,3,0,10/9/2022,Leeds,1,1,10,4,23,3,3,0,L,1,0.6,12.2,3.6,14.4,4.4,1.8,0.2
83,10/9/2022,West Ham,3,1,17,8,9,4,1,0,W,1.2,0.4,16.6,4.8,7.8,7.2,1,0,10/9/2022,Fulham,1,1,8,2,7,2,3,0,L,1.8,0.8,16,5,9,7,1.6,0
84,10/9/2022,Arsenal,3,2,11,7,11,4,1,0,W,2.6,1.2,15.6,6.6,9.8,5,1.2,0,10/9/2022,Liverpool,2,1,8,3,11,3,2,0,L,1,0.6,16,5.8,9.4,8.2,1.2,0
85,10/9/2022,Everton,1,1,11,2,7,5,2,0,L,0.8,0.4,6.8,2.4,11.2,3,2.8,0,10/9/2022,Man United,2,2,12,4,13,4,1,0,W,1.8,0.6,16.2,6.2,10.2,4.4,2,0
86,10/10/2022,Nott'm Forest,1,1,6,3,13,1,3,0,D,1.2,0.4,12.8,3.8,12.8,2.6,2,0,10/10/2022,Aston Villa,1,1,12,2,19,4,3,0,D,1.4,0.4,13,4,11.2,3.2,2.2,0
87,10/14/2022,Brentford,2,1,7,3,12,2,3,0,W,1.4,0.8,9.6,3.6,10,4.4,1.8,0,10/14/2022,Brighton,0,0,21,7,15,11,1,0,L,2.4,0.8,15,6.8,11,5.6,1,0
88,10/15/2022,Leicester,0,0,14,5,18,9,2,0,D,0.5,0.25,11,3.5,12.75,6.25,1.5,0,10/15/2022,Crystal Palace,0,0,8,1,13,2,2,0,D,0.4,0.2,10,2.8,11.4,4.6,1.8,0
89,10/15/2022,Fulham,2,1,19,4,9,5,2,0,D,0.8,0.4,9.6,2.4,10.6,3.4,2.8,0.2,10/15/2022,Bournemouth,2,2,10,6,11,6,0,0,D,0.6,0.6,9.4,3.4,9.6,5,1.2,0
90,10/15/2022,Wolves,1,0,9,2,17,4,2,0,W,0.6,0.2,12.2,2.8,11,5.8,1.8,0,10/15/2022,Nott'm Forest,0,0,10,2,13,5,2,0,L,1,0.4,12.4,3.2,12.2,3.4,2,0
91,10/15/2022,Tottenham,2,0,21,7,12,7,1,0,W,2,0.8,12.2,4.4,10.8,4.8,1.8,0.2,10/15/2022,Everton,0,0,4,0,13,1,4,0,L,0.8,0.2,8.6,3,8.8,5.4,2,0
92,10/16/2022,Aston Villa,0,0,18,7,12,7,0,0,L,1,0.4,14,4.6,11.6,4,1.6,0,10/16/2022,Chelsea,2,1,8,4,11,1,3,0,W,1,0.4,11,3.2,10.4,4.4,2.2,0
93,10/16/2022,Leeds,0,0,16,4,10,6,0,0,L,0.75,0.25,13.75,4.75,9.75,6.75,1.75,0,10/16/2022,Arsenal,1,1,9,4,11,3,2,0,W,1.8,1,17.4,5.4,10.8,5.6,2.2,0
94,10/16/2022,Man United,0,0,15,2,13,4,3,0,D,1.6,0.6,12.4,4,12,3.6,2,0,10/16/2022,Newcastle,0,0,9,2,11,4,1,0,D,1,0.6,14.4,5,10,8.4,1.6,0
